name,year,UV_Value
Xinjiang,2013-2016 average,181.89073076986904
Xinjiang,2017-2020 average,189.74505056127978
Xizang,2005-2008 average,227.8082956218263
Xizang,2009-2012 average,226.42335022216776
Xizang,2013-2016 average,228.64508708844335
Xizang,2017-2020 average,230.41182317496936
Yunnan,2005-2008 average,190.3968773118352
Yunnan,2009-2012 average,192.48325088255407
Yunnan,2013-2016 average,195.7827997956166
Yunnan,2017-2020 average,203.33916729281123
Zhejiang,2005-2008 average,153.0033852787393
Zhejiang,2009-2012 average,149.41782769241453
Zhejiang,2013-2016 average,148.13335298985044
Zhejiang,2017-2020 average,157.9702817479701
